"id","uuid_key","district_id","code","name","status","created_by","created_at","created_client","updated_by","updated_at","updated_client","deleted","kemendagri_code"
3765,"49101e3c-a5a3-42eb-b722-a68c3cd3b94d",251,"3524020",Bluluk,A,43,2021-08-27 12:09:13:845126,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:845126,c1bbb0d29b3b4864b491bf38851b3821,false,
3768,f19c9fcd-7480-4034-bc30-d42d5b30cafc,251,"3524050",Mantup,A,43,2021-08-27 12:09:13:857777,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:857777,c1bbb0d29b3b4864b491bf38851b3821,false,
3771,eb8206f7-6a8a-4774-a571-9ec41f6090d4,251,"3524080",Kedungpring,A,43,2021-08-27 12:09:13:869741,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:869741,c1bbb0d29b3b4864b491bf38851b3821,false,
3774,"1d6450fa-edd9-4b3f-83dd-8144b919eac5",251,"3524110",Pucuk,A,43,2021-08-27 12:09:13:882832,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:882832,c1bbb0d29b3b4864b491bf38851b3821,false,
3777,"1196887f-e09a-4232-bac9-f59687310720",251,"3524140",Tikung,A,43,2021-08-27 12:09:13:894637,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:894637,c1bbb0d29b3b4864b491bf38851b3821,false,
3780,"27aa6e37-5715-4a81-9afd-e49d39a8bedd",251,"3524160",Glagah,A,43,2021-08-27 12:09:13:906699,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:906699,c1bbb0d29b3b4864b491bf38851b3821,false,
3783,d065c5ae-0e8e-455c-b0e3-9a175054ae33,251,"3524190",Kalitengah,A,43,2021-08-27 12:09:13:921270,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:921270,c1bbb0d29b3b4864b491bf38851b3821,false,
3786,"16c85405-f2ce-4ed2-91c2-92154e605866",251,"3524220",Maduran,A,43,2021-08-27 12:09:13:934052,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:934052,c1bbb0d29b3b4864b491bf38851b3821,false,
3789,bf6f8a68-2555-4689-b040-49e85d02b873,251,"3524250",Paciran,A,43,2021-08-27 12:09:13:946373,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:946373,c1bbb0d29b3b4864b491bf38851b3821,false,
3792,"23e48f44-590d-44b5-8580-d41dbc925afb",252,"3525020",Driyorejo,A,43,2021-08-27 12:09:13:959601,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:959601,c1bbb0d29b3b4864b491bf38851b3821,false,
3795,"1b89773a-2073-49ea-90a6-a876a5675c8a",252,"3525050",Cerme,A,43,2021-08-27 12:09:13:971617,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:971617,c1bbb0d29b3b4864b491bf38851b3821,false,
3798,"9947f8f8-505b-4212-9424-ed3c4f3bf11d",252,"3525080",Duduksampeyan,A,43,2021-08-27 12:09:13:983885,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:983885,c1bbb0d29b3b4864b491bf38851b3821,false,
3803,"8a1ae91e-79c2-49ff-83da-382bce13a4c9",252,"3525130",Sidayu,A,43,2021-08-27 12:09:14:006473,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:14:006473,c1bbb0d29b3b4864b491bf38851b3821,false,
